station_id,longitude,latitude,time,avrcur
a2,3.119722,51.36166,2023-11-24T22:20:00Z,0.67
a2,3.119722,51.36166,2023-11-24T22:30:00Z,0.67
a2,3.119722,51.36166,2023-11-24T22:40:00Z,0.65
a2,3.119722,51.36166,2023-11-24T22:50:00Z,0.63
a2,3.119722,51.36166,2023-11-24T23:00:00Z,0.59
a2,3.119722,51.36166,2023-11-24T23:10:00Z,0.56
a2,3.119722,51.36166,2023-11-24T23:20:00Z,0.51
a2,3.119722,51.36166,2023-11-24T23:30:00Z,0.47
a2,3.119722,51.36166,2023-11-24T23:40:00Z,0.42
a2,3.119722,51.36166,2023-11-24T23:50:00Z,0.36
a2,3.119722,51.36166,2023-11-25T00:00:00Z,0.31
a2,3.119722,51.36166,2023-11-25T00:10:00Z,0.26
a2,3.119722,51.36166,2023-11-25T00:20:00Z,0.21
a2,3.119722,51.36166,2023-11-25T00:30:00Z,0.16
a2,3.119722,51.36166,2023-11-25T00:40:00Z,0.13
a2,3.119722,51.36166,2023-11-25T00:50:00Z,0.11
a2,3.119722,51.36166,2023-11-25T01:00:00Z,0.14
a2,3.119722,51.36166,2023-11-25T01:10:00Z,0.18
a2,3.119722,51.36166,2023-11-25T01:20:00Z,0.25
a2,3.119722,51.36166,2023-11-25T01:30:00Z,0.31
a2,3.119722,51.36166,2023-11-25T01:40:00Z,0.38
a2,3.119722,51.36166,2023-11-25T01:50:00Z,0.45
a2,3.119722,51.36166,2023-11-25T02:00:00Z,0.52
a2,3.119722,51.36166,2023-11-25T02:10:00Z,0.58
a2,3.119722,51.36166,2023-11-25T02:20:00Z,0.63
a2,3.119722,51.36166,2023-11-25T02:30:00Z,0.67
a2,3.119722,51.36166,2023-11-25T02:40:00Z,0.7
a2,3.119722,51.36166,2023-11-25T02:50:00Z,0.71
a2,3.119722,51.36166,2023-11-25T03:00:00Z,0.72
a2,3.119722,51.36166,2023-11-25T03:10:00Z,0.72
a2,3.119722,51.36166,2023-11-25T03:20:00Z,0.72
a2,3.119722,51.36166,2023-11-25T03:30:00Z,0.71
a2,3.119722,51.36166,2023-11-25T03:40:00Z,0.69
a2,3.119722,51.36166,2023-11-25T03:50:00Z,0.68
a2,3.119722,51.36166,2023-11-25T04:00:00Z,0.66
a2,3.119722,51.36166,2023-11-25T04:10:00Z,0.64
a2,3.119722,51.36166,2023-11-25T04:20:00Z,0.62
a2,3.119722,51.36166,2023-11-25T04:30:00Z,0.6
a2,3.119722,51.36166,2023-11-25T04:40:00Z,0.59
a2,3.119722,51.36166,2023-11-25T04:50:00Z,0.57
a2,3.119722,51.36166,2023-11-25T05:00:00Z,0.55
a2,3.119722,51.36166,2023-11-25T05:10:00Z,0.54
a2,3.119722,51.36166,2023-11-25T05:20:00Z,0.53
a2,3.119722,51.36166,2023-11-25T05:30:00Z,0.51
a2,3.119722,51.36166,2023-11-25T05:40:00Z,0.5
a2,3.119722,51.36166,2023-11-25T05:50:00Z,0.49
a2,3.119722,51.36166,2023-11-25T06:00:00Z,0.47
a2,3.119722,51.36166,2023-11-25T06:10:00Z,0.45
a2,3.119722,51.36166,2023-11-25T06:20:00Z,0.43
a2,3.119722,51.36166,2023-11-25T06:30:00Z,0.41
a2,3.119722,51.36166,2023-11-25T06:40:00Z,0.39
a2,3.119722,51.36166,2023-11-25T06:50:00Z,0.37
a2,3.119722,51.36166,2023-11-25T07:00:00Z,0.35
a2,3.119722,51.36166,2023-11-25T07:10:00Z,0.33
a2,3.119722,51.36166,2023-11-25T07:20:00Z,0.3
a2,3.119722,51.36166,2023-11-25T07:30:00Z,0.28
a2,3.119722,51.36166,2023-11-25T07:40:00Z,0.26
a2,3.119722,51.36166,2023-11-25T07:50:00Z,0.23
a2,3.119722,51.36166,2023-11-25T08:00:00Z,0.2
a2,3.119722,51.36166,2023-11-25T08:10:00Z,0.18
a2,3.119722,51.36166,2023-11-25T08:20:00Z,0.15
a2,3.119722,51.36166,2023-11-25T08:30:00Z,0.13
a2,3.119722,51.36166,2023-11-25T08:40:00Z,0.11
a2,3.119722,51.36166,2023-11-25T08:50:00Z,0.11
a2,3.119722,51.36166,2023-11-25T09:00:00Z,0.13
a2,3.119722,51.36166,2023-11-25T09:10:00Z,0.18
a2,3.119722,51.36166,2023-11-25T09:20:00Z,0.24
a2,3.119722,51.36166,2023-11-25T09:30:00Z,0.32
a2,3.119722,51.36166,2023-11-25T09:40:00Z,0.41
a2,3.119722,51.36166,2023-11-25T09:50:00Z,0.49
a2,3.119722,51.36166,2023-11-25T10:00:00Z,0.58
a2,3.119722,51.36166,2023-11-25T10:10:00Z,0.65
a2,3.119722,51.36166,2023-11-25T10:20:00Z,0.71
a2,3.119722,51.36166,2023-11-25T10:30:00Z,0.75
a2,3.119722,51.36166,2023-11-25T10:40:00Z,0.77
a2,3.119722,51.36166,2023-11-25T10:50:00Z,0.77
a2,3.119722,51.36166,2023-11-25T11:00:00Z,0.76
a2,3.119722,51.36166,2023-11-25T11:10:00Z,0.73
a2,3.119722,51.36166,2023-11-25T11:20:00Z,0.69
a2,3.119722,51.36166,2023-11-25T11:30:00Z,0.65
a2,3.119722,51.36166,2023-11-25T11:40:00Z,0.6
a2,3.119722,51.36166,2023-11-25T11:50:00Z,0.55
a2,3.119722,51.36166,2023-11-25T12:00:00Z,0.5
a2,3.119722,51.36166,2023-11-25T12:10:00Z,0.45
a2,3.119722,51.36166,2023-11-25T12:20:00Z,0.4
a2,3.119722,51.36166,2023-11-25T12:30:00Z,0.35
a2,3.119722,51.36166,2023-11-25T12:40:00Z,0.3
a2,3.119722,51.36166,2023-11-25T12:50:00Z,0.25
a2,3.119722,51.36166,2023-11-25T13:00:00Z,0.2
a2,3.119722,51.36166,2023-11-25T13:10:00Z,0.16
a2,3.119722,51.36166,2023-11-25T13:20:00Z,0.13
a2,3.119722,51.36166,2023-11-25T13:30:00Z,0.12
a2,3.119722,51.36166,2023-11-25T13:40:00Z,0.15
a2,3.119722,51.36166,2023-11-25T13:50:00Z,0.2
a2,3.119722,51.36166,2023-11-25T14:00:00Z,0.26
a2,3.119722,51.36166,2023-11-25T14:10:00Z,0.32
a2,3.119722,51.36166,2023-11-25T14:20:00Z,0.39
a2,3.119722,51.36166,2023-11-25T14:30:00Z,0.46
a2,3.119722,51.36166,2023-11-25T14:40:00Z,0.52
a2,3.119722,51.36166,2023-11-25T14:50:00Z,0.58
a2,3.119722,51.36166,2023-11-25T15:00:00Z,0.63
a2,3.119722,51.36166,2023-11-25T15:10:00Z,0.67
a2,3.119722,51.36166,2023-11-25T15:20:00Z,0.69
a2,3.119722,51.36166,2023-11-25T15:30:00Z,0.71
a2,3.119722,51.36166,2023-11-25T15:40:00Z,0.72
a2,3.119722,51.36166,2023-11-25T15:50:00Z,0.72
a2,3.119722,51.36166,2023-11-25T16:00:00Z,0.71
a2,3.119722,51.36166,2023-11-25T16:10:00Z,0.7
a2,3.119722,51.36166,2023-11-25T16:20:00Z,0.68
a2,3.119722,51.36166,2023-11-25T16:30:00Z,0.66
a2,3.119722,51.36166,2023-11-25T16:40:00Z,0.64
a2,3.119722,51.36166,2023-11-25T16:50:00Z,0.62
a2,3.119722,51.36166,2023-11-25T17:00:00Z,0.6
a2,3.119722,51.36166,2023-11-25T17:10:00Z,0.58
a2,3.119722,51.36166,2023-11-25T17:20:00Z,0.56
a2,3.119722,51.36166,2023-11-25T17:30:00Z,0.54
a2,3.119722,51.36166,2023-11-25T17:40:00Z,0.53
a2,3.119722,51.36166,2023-11-25T17:50:00Z,0.51
a2,3.119722,51.36166,2023-11-25T18:00:00Z,0.5
a2,3.119722,51.36166,2023-11-25T18:10:00Z,0.48
a2,3.119722,51.36166,2023-11-25T18:20:00Z,0.47
a2,3.119722,51.36166,2023-11-25T18:30:00Z,0.45
a2,3.119722,51.36166,2023-11-25T18:40:00Z,0.43
a2,3.119722,51.36166,2023-11-25T18:50:00Z,0.42
a2,3.119722,51.36166,2023-11-25T19:00:00Z,0.4
a2,3.119722,51.36166,2023-11-25T19:10:00Z,0.38
a2,3.119722,51.36166,2023-11-25T19:20:00Z,0.36
a2,3.119722,51.36166,2023-11-25T19:30:00Z,0.34
