"","objectid","naam","lat","lon","geometry"
"353",353,"Borssele IV",51.7441127348848,2.90328669026302,c(2.90328669026302, 51.7441127348848)
"354",354,"Borssele IV",51.7399914211606,2.92349432486407,c(2.92349432486407, 51.7399914211606)
"355",355,"Borssele IV",51.7344298418211,2.88686447532134,c(2.88686447532134, 51.7344298418211)
"356",356,"Borssele IV",51.7295852867911,2.85596322698162,c(2.85596322698162, 51.7295852867911)
"357",357,"Borssele IV",51.7331302923541,2.79079189380078,c(2.79079189380078, 51.7331302923541)
"358",358,"Borssele IV",51.7389244763033,2.81465987550868,c(2.81465987550868, 51.7389244763033)
"359",359,"Borssele IV",51.7220535918637,2.80871740954819,c(2.80871740954819, 51.7220535918637)
"360",360,"Borssele IV",51.7429173695005,2.83940983273359,c(2.83940983273359, 51.7429173695005)
"361",361,"Borssele IV",51.7260933884741,2.83230020883712,c(2.83230020883712, 51.7260933884741)
"362",362,"Borssele IV",51.7131731470914,2.82366607043495,c(2.82366607043495, 51.7131731470914)
"363",363,"Borssele IV",51.7170386641376,2.85231199533212,c(2.85231199533212, 51.7170386641376)
"364",364,"Borssele IV",51.7218404671392,2.88255352884866,c(2.88255352884866, 51.7218404671392)
"365",365,"Borssele IV",51.7263586693426,2.91200902416526,c(2.91200902416526, 51.7263586693426)
"366",366,"Borssele IV",51.7311417081411,2.94139576266261,c(2.94139576266261, 51.7311417081411)
"367",367,"Borssele IV",51.7115268403251,2.91558139773053,c(2.91558139773053, 51.7115268403251)
"368",368,"Borssele IV",51.697032828994,2.89766861685785,c(2.89766861685785, 51.697032828994)
"369",369,"Borssele IV",51.6815049991707,2.87766764743493,c(2.87766764743493, 51.6815049991707)
"370",370,"Borssele IV",51.6921826558189,2.85991615781019,c(2.85991615781019, 51.6921826558189)
"371",371,"Borssele IV",51.7029062893538,2.84006002874781,c(2.84006002874781, 51.7029062893538)
"372",372,"Borssele IV",51.7036173775406,2.87029921697247,c(2.87029921697247, 51.7036173775406)
"373",373,"Borssele IV",51.7110129527311,2.89322134700642,c(2.89322134700642, 51.7110129527311)
"374",374,"Borssele V",51.7076899770449,3.01009497050048,c(3.01009497050048, 51.7076899770449)
"375",375,"Borssele V",51.71150840738,2.99764513355052,c(2.99764513355052, 51.71150840738)
"376",376,"Borssele I",51.7167622494979,3.05630455081456,c(3.05630455081456, 51.7167622494979)
"377",377,"Borssele I",51.7218441945686,3.03713181224778,c(3.03713181224778, 51.7218441945686)
"378",378,"Borssele I",51.7281506072967,3.01739880432193,c(3.01739880432193, 51.7281506072967)
"379",379,"Borssele I",51.742007439246,3.00999307847477,c(3.00999307847477, 51.742007439246)
"380",380,"Borssele I",51.7347593867222,2.99436469514536,c(2.99436469514536, 51.7347593867222)
"381",381,"Borssele I",51.7399165928659,2.97501572673035,c(2.97501572673035, 51.7399165928659)
